iter	RMSE
0	50605.31903
1	48824.15081
2	47049.45373
3	45395.026
4	43868.38468
5	42414.79503
6	41134.16766
7	39828.21815
8	38729.34154
9	37501.19219
10	36375.15925
11	35296.91097
12	34290.36033
13	33413.48075
14	32527.49127
15	31583.39223
16	30727.17615
17	29919.00262
18	29186.79458
19	28532.64591
20	27952.10141
21	27349.32043
22	26757.44935
23	26189.49389
24	25731.86673
25	25344.51398
26	24877.39978
27	24451.18486
28	24019.87246
29	23622.61364
30	23228.01278
31	22925.00725
32	22594.91037
33	22331.14949
34	22081.89463
35	21788.12304
36	21520.05744
37	21271.20576
38	21091.91723
39	20854.91473
40	20658.9502
41	20507.17178
42	20330.46137
43	20171.40782
44	20008.80443
45	19870.76046
46	19728.3602
47	19591.16268
48	19429.81906
49	19271.22585
50	19130.14311
51	19020.56245
52	18881.99922
53	18769.03288
54	18637.31425
55	18550.39225
56	18455.75115
57	18348.81443
58	18251.73804
59	18162.1055
60	18032.22344
61	17927.52693
62	17846.15913
63	17777.63382
64	17692.29217
65	17612.58284
66	17543.48534
67	17493.25363
68	17423.46889
69	17369.14487
70	17263.57746
71	17190.56807
72	17136.23512
73	17086.52337
74	17031.59809
75	16986.23288
76	16927.7391
77	16885.2706
78	16792.51083
79	16724.69879
80	16667.91509
81	16613.5324
82	16561.47475
83	16519.27144
84	16485.43691
85	16407.36045
86	16375.54352
87	16340.60079
88	16288.17285
89	16244.33121
90	16213.02908
91	16180.17198
92	16111.64391
93	16082.87569
94	16006.04471
95	15953.72403
96	15922.92603
97	15892.39507
98	15852.93409
99	15809.57696
100	15769.82926
101	15698.39273
102	15625.6798
103	15572.37301
104	15542.06715
105	15518.77823
106	15439.77809
107	15403.84833
108	15365.38551
109	15297.75863
110	15239.09336
111	15204.53774
112	15141.54979
113	15118.17821
114	15065.33392
115	15007.75659
116	14975.8155
117	14945.81481
118	14919.33973
119	14880.06293
120	14850.68948
121	14830.43193
122	14782.37205
123	14728.11874
124	14689.52809
125	14648.59373
126	14626.1316
127	14600.37897
128	14568.28594
129	14526.60903
130	14499.67087
131	14448.70441
132	14421.46378
133	14394.66338
134	14379.34093
135	14359.20938
136	14337.95675
137	14305.81721
138	14266.56213
139	14244.74403
140	14208.09979
141	14177.54665
142	14122.53952
143	14097.07494
144	14080.11114
145	14062.4924
146	14025.45324
147	13990.5766
148	13972.31153
149	13946.42872
150	13927.89432
151	13907.61816
152	13882.51382
153	13853.8201
154	13827.2987
155	13802.12921
156	13786.15791
157	13771.5492
158	13736.85681
159	13689.3646
160	13655.0661
161	13619.69473
162	13591.59982
163	13578.63283
164	13547.5393
165	13532.4005
166	13503.84814
167	13452.49506
168	13440.20765
169	13420.63472
170	13404.01796
171	13371.91636
172	13357.34348
173	13346.90603
174	13335.01661
175	13313.9947
176	13301.24394
177	13283.81198
178	13272.57963
179	13245.18089
180	13203.8335
181	13168.62073
182	13156.38539
183	13130.5401
184	13116.92931
185	13100.49067
186	13066.37441
187	13036.99192
188	13021.57515
189	13010.4794
190	13000.39897
191	12974.4701
192	12963.69242
193	12955.13856
194	12940.13565
195	12899.18161
196	12875.56021
197	12864.27289
198	12839.60649
199	12789.89118
200	12779.32513
201	12748.80413
202	12724.51671
203	12709.86868
204	12668.73071
205	12658.621
206	12629.46722
207	12614.08996
208	12586.75152
209	12572.74151
210	12547.96618
211	12528.84826
212	12511.27207
213	12502.49443
214	12481.04458
215	12467.83829
216	12448.34756
217	12425.13828
218	12416.52993
219	12405.06194
220	12397.21654
221	12370.79534
222	12361.6196
223	12341.39895
224	12333.81471
225	12302.94218
226	12281.29988
227	12265.76811
228	12251.10445
229	12223.67941
230	12211.04025
231	12189.67663
232	12173.54652
233	12160.74886
234	12153.04001
235	12145.99629
236	12108.89414
237	12092.88614
238	12080.44771
239	12065.69787
240	12051.23273
241	12024.75885
242	12004.85234
243	11995.91726
244	11988.60383
245	11978.1359
246	11967.98596
247	11945.09805
248	11937.99688
249	11904.05023
250	11888.72698
251	11872.5458
252	11851.76962
253	11842.29975
254	11833.07583
255	11816.40364
256	11810.57377
257	11804.29654
258	11791.76345
259	11781.5619
260	11768.31573
261	11761.85265
262	11749.82735
263	11735.60287
264	11726.66618
265	11718.0773
266	11698.44995
267	11686.81267
268	11678.26104
269	11669.10102
270	11651.18246
271	11634.60256
272	11618.02346
273	11607.13415
274	11597.50526
275	11576.84189
276	11559.30671
277	11531.73111
278	11524.83045
279	11520.49733
280	11515.75197
281	11495.44675
282	11453.32539
283	11441.91404
284	11432.43017
285	11405.66331
286	11367.4454
287	11360.51698
288	11354.32535
289	11349.30634
290	11330.62524
291	11326.67489
292	11311.24631
293	11293.03255
294	11286.85145
295	11267.41597
296	11263.26028
297	11224.65746
298	11216.06756
299	11197.02826
300	11181.39469
301	11166.74297
302	11161.35037
303	11157.37021
304	11136.28875
305	11129.84095
306	11110.63696
307	11096.53814
308	11090.73543
309	11083.66659
310	11068.95063
311	11059.23792
312	11051.211
313	11046.18782
314	11039.82313
315	11027.08709
316	11021.61559
317	11007.41509
318	11002.79472
319	10998.1121
320	10981.12841
321	10972.59755
